Timestamp                       Thread     Type        Activity             PID    TTL  
2026-09-18 04:09:43.960695+0300 0x790      Default     0x0                  0      0    kernel: (AppleFirmwareKit) DCPEndpoint(AFKDCPEndpoint1:0x100000677): Create AFKMailboxEndpointInterface (id:7)
2026-09-18 04:09:43.962724+0300 0x790      Default     0x0                  0      0    kernel: (RTBuddy) [DCP:nifiedPipeline.cpp:1697] set_device_enabled_gated: current state: 1, requested state: 1
2026-09-18 04:09:43.962812+0300 0x790      Default     0x0                  0      0    kernel: (IOThunderboltFamily) 5845045us IOThunderboltControllerGenericACIO(0)::getRootSwitchStaticDataForKey - key path-disable-flags not found
2026-09-18 04:09:43.963056+0300 0x773      Error       0x0                  0      0    kernel: (AppleFirmwareKit) DCPEndpoint(AFKDCPEndpoint4:0x10000067a): Interface not found. Packet type:0x32
2026-09-18 04:09:43.963116+0300 0x773      Default     0x0                  0      0    kernel: (AppleFirmwareKit) DCPEndpoint(AFKDCPEndpoint4:0x10000067a): Create AFKMailboxEndpointInterface (id:3)
2026-09-18 04:09:43.963150+0300 0x790      Default     0x0                  0      0    kernel: (RTBuddy) [DCP:dpointInterface.cpp:663] [AFK][AFKMailboxSharedMemoryEndpointInterface:#63] if:1 inCmd:0 inResp:0 outRepErr:0 outCmdErr:0 t:140288576
2026-09-18 04:09:43.965020+0300 0x790      Default     0x0                  0      0    kernel: (IOThunderboltFamily) 5847253us IOThunderboltControllerGenericACIO(1)::getRootSwitchStaticDataForKey - key path-disable-flags not found
2026-09-18 04:09:43.965316+0300 0x773      Default     0x0                  0      0    kernel: (RTBuddy) [DCP:PPipeDCP_H13P.cpp:13187] IOMFB updateFrequencies: minimum-frequency property not found, using getClockFrequency(0) instead.
2026-09-18 04:09:43.965336+0300 0x773      Default     0x0                  0      0    kernel: (AppleFirmwareKit) DCPEndpoint(AFKDCPEXTEndpoint11:0x100000617): Create AFKMailboxEndpointInterface (id:1)
2026-09-18 04:09:43.965459+0300 0x773      Default     0x0                  0      0    kernel: (RTBuddy) [DCP:UPPipe.cpp:5247] IOMFB: vid-clock-to-disp-clock-factor read failed, using default
2026-09-18 04:09:43.965686+0300 0x790      Default     0x0                  0      0    kernel: (RTBuddy) [DCP:PPipeDCP_H13P.cpp:13583] bool IOMFB::UPPipeDCP_H13P::init_m3_timing_parameters(): Int entry for init_m3_timing tunable target is 4
2026-09-18 04:09:43.966019+0300 0x790      Default     0x0                  0      0    kernel: (AppleFirmwareKit) DCPEndpoint(AFKDCPEXTEndpoint11:0x100000617): Create AFKMailboxEndpointInterface (id:3)
2026-09-18 04:09:43.966199+0300 0x773      Default     0x0                  0      0    kernel: (IOThunderboltFamily) IOThunderboltSwitch(1@0)::setupTRMPolicyForPort - trm_policy = <private>
2026-09-18 04:09:43.967882+0300 0x609      Error       0x0                  0      0    kernel: (AppleFirmwareKit) DCPEndpoint(AFKDCPEndpoint5:0x10000067b): Interface not found. Packet type:0x32
2026-09-18 04:09:43.967887+0300 0x609      Error       0x0                  0      0    kernel: (AppleFirmwareKit) DCPEndpoint(AFKDCPEndpoint5:0x10000067b): Interface not found. Packet type:0x32
2026-09-18 04:09:43.967952+0300 0x790      Default     0x0                  0      0    kernel: (AppleFirmwareKit) DCPEndpoint(AFKDCPEndpoint5:0x10000067b): Create AFKMailboxEndpointInterface (id:5)
2026-09-18 04:09:43.968045+0300 0x609      Default     0x0                  0      0    kernel: (RTBuddy) [DCP:dpointInterface.cpp:663] [AFK][AFKMailboxSharedMemoryEndpointInterface:#66] if:3 inCmd:0 inResp:0 outRepErr:0 outCmdErr:0 t:140405835
2026-09-18 04:09:43.969153+0300 0x790      Default     0x0                  0      0    kernel: (RTBuddy) [DCP:PPipeDCP_H13P.cpp:13187] IOMFB updateFrequencies: minimum-frequency property not found, using getClockFrequency(0) instead.
2026-09-18 04:09:43.969244+0300 0x790      Default     0x0                  0      0    kernel: (AppleFirmwareKit) DCPEndpoint(AFKDCPEXTEndpoint3:0x10000060c): Create AFKMailboxEndpointInterface (id:1)
2026-09-18 04:09:43.969588+0300 0x790      Default     0x0                  0      0    kernel: (AppleFirmwareKit) DCPEndpoint(AFKDCPEndpoint5:0x10000067b): Create AFKMailboxEndpointInterface (id:7)
2026-09-18 04:09:43.970246+0300 0x790      Default     0x0                  0      0    kernel: (IODisplayPortFamily) IOAV[104] AppleATCDPINAdapterPort(atc1-dpin0)<0x100000322>::start: _dpSwitch=0x10000031b _role=1 _address.domain=0 _address.endpoint=1 _address.port=1
2026-09-18 04:09:43.970258+0300 0x790      Default     0x0                  0      0    kernel: (AppleDisplayCrossbar) IOAV[110] AppleATCDPINAdapterPort(atc1-dpin0)<0x100000322>::start: ok=yes
2026-09-18 04:09:43.970271+0300 0x790      Default     0x0                  0      0    kernel: (AppleDisplayCrossbar) IOAV[113] AppleATCDPINAdapterPort(atc1-dpin0)<0x100000322>::handleTunnelStateChange: allocated=NO activated=NO interruptsEnabled=NO _dpTunnelActive=NO _dpinAdapterPortActive=NO _hpdAsserted=NO
